electrode,x = r sin_ cos_,y = r sin_ sin_,z = r cos_
Fp1,-27.03339346,83.20022999,-3.054935226
AF3,-35.56089958,76.26059526,24.1279774
F7,-70.7743429,51.42057001,-3.054935226
F3,-47.70734829,58.91366875,43.76761149
FC1,-32.80028009,32.80028009,74.23407919
FC5,-77.72145201,29.83447018,27.04987151
T7,-87.48189889,0,-3.054935226
C3,-62.96756982,0,60.80707535
CP1,-32.80028009,-32.80028009,74.23407919
CP5,-77.72145201,-29.83447018,27.04987151
P7,-70.7743429,-51.42057001,-3.054935226
P3,-47.70734829,-58.91366875,43.76761149
Pz,3.86E-15,-62.96756982,60.80707535
PO3,-35.56089958,-76.26059526,24.1279774
O1,-27.03339346,-83.20022999,-3.054935226
Oz,5.36E-15,-87.48189889,-3.054935226
O2,27.03339346,-83.20022999,-3.054935226
PO4,35.56089958,-76.26059526,24.1279774
P4,47.70734829,-58.91366875,43.76761149
P8,70.7743429,-51.42057001,-3.054935226
CP6,77.72145201,-29.83447018,27.04987151
CP2,32.80028009,-32.80028009,74.23407919
C4,62.96756982,0,60.80707535
T8,87.48189889,0,-3.054935226
FC6,77.72145201,29.83447018,27.04987151
FC2,32.80028009,32.80028009,74.23407919
F4,47.70734829,58.91366875,43.76761149
F8,70.7743429,51.42057001,-3.054935226
AF4,35.56089958,76.26059526,24.1279774
Fp2,27.03339346,83.20022999,-3.054935226
Fz,3.86E-15,62.96756982,60.80707535
Cz,0,0,87.53522298